,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
5637,2063,ssp245,NorESM2-LM,1.8738835435664718,1.7969833821080594
5638,2064,ssp245,NorESM2-LM,1.908087525981685,1.8271475971992637
5639,2065,ssp245,NorESM2-LM,2.0212183171424085,1.938329756415163
5640,2066,ssp245,NorESM2-LM,2.1027283266499146,2.0069103718330927
5641,2067,ssp245,NorESM2-LM,2.1318359707850205,2.036928201238274
5642,2068,ssp245,NorESM2-LM,2.090279651646051,1.9986671520737247
5643,2069,ssp245,NorESM2-LM,2.118679333292277,2.0210387063446884
5644,2070,ssp245,NorESM2-LM,2.087503341637512,1.9954129985860463
5645,2071,ssp245,NorESM2-LM,2.076058689686667,1.9894322913894165
5646,2072,ssp245,NorESM2-LM,2.171354146678038,2.094099612076016
5647,2073,ssp245,NorESM2-LM,2.307475465188659,2.2255579103691563
5648,2074,ssp245,NorESM2-LM,2.2774931288846547,2.1992964616388506
5649,2075,ssp245,NorESM2-LM,2.220995350610248,2.141364636178257
5650,2076,ssp245,NorESM2-LM,2.214345933795546,2.1418214585101465
5651,2077,ssp245,NorESM2-LM,2.1749531476712867,2.096401402252213
5652,2078,ssp245,NorESM2-LM,2.1457892202677082,2.0711217231130976
5653,2079,ssp245,NorESM2-LM,2.236087962044756,2.159459519584319
5654,2080,ssp245,NorESM2-LM,2.323291176456783,2.2503550297249726
5655,2081,ssp245,NorESM2-LM,2.3400144490506043,2.2583133290732302
5656,2082,ssp245,NorESM2-LM,2.3919140735555913,2.3066358282725927
5657,2083,ssp245,NorESM2-LM,2.49969544378961,2.4064406008117616
5658,2084,ssp245,NorESM2-LM,2.5096159708364865,2.4180374777779656
5659,2085,ssp245,NorESM2-LM,2.476039614195348,2.37977876075051
5660,2086,ssp245,NorESM2-LM,2.4594294772831686,2.3681214941998907
5661,2087,ssp245,NorESM2-LM,2.4466995249692265,2.370423338272315
5662,2088,ssp245,NorESM2-LM,2.4087597918254686,2.33767292471673
5663,2089,ssp245,NorESM2-LM,2.4415863004881637,2.3719474659746296
5664,2090,ssp245,NorESM2-LM,2.478604838876572,2.3994858633388474
5665,2091,ssp245,NorESM2-LM,2.500312170477529,2.413335405063239
5666,2092,ssp245,NorESM2-LM,2.520028897358997,2.420936837174259
5667,2093,ssp245,NorESM2-LM,2.5336734413767066,2.4322604465723696
5668,2094,ssp245,NorESM2-LM,2.4762475205829366,2.375570353616009
5669,2095,ssp245,NorESM2-LM,2.468781946642438,2.356126366003448
5670,2096,ssp245,NorESM2-LM,2.5455689603007925,2.4304835292178533
5671,2097,ssp245,NorESM2-LM,2.5786075389340524,2.4663281958260006
5672,2098,ssp245,NorESM2-LM,2.5686689901977395,2.4642366672678255
5673,2099,ssp245,NorESM2-LM,,
5674,2100,ssp245,NorESM2-LM,,
5675,1850,historical,NorESM2-MM,,
5676,1851,historical,NorESM2-MM,,
5677,1852,historical,NorESM2-MM,0.13120074935886236,0.10622507007644573
5678,1853,historical,NorESM2-MM,0.16646730177942853,0.14401764071058376
5679,1854,historical,NorESM2-MM,0.11232981166341746,0.10037661707423821
5680,1855,historical,NorESM2-MM,0.07662599387895855,0.0702794114815741
5681,1856,historical,NorESM2-MM,0.047068851240504264,0.043311118389581585
5682,1857,historical,NorESM2-MM,-0.03971496400893987,-0.03639277330590386
5683,1858,historical,NorESM2-MM,-0.10769344848027948,-0.10657080307278802
5684,1859,historical,NorESM2-MM,-0.11653847638039191,-0.11438065575585035
5685,1860,historical,NorESM2-MM,-0.11379714829963479,-0.11083366940288164
5686,1861,historical,NorESM2-MM,-0.08837710323591252,-0.09070838670093223
5687,1862,historical,NorESM2-MM,-0.03392326291071169,-0.04489170198656622
5688,1863,historical,NorESM2-MM,0.01659426871134822,0.002505746533029973
5689,1864,historical,NorESM2-MM,0.13423943439499636,0.10157327736313664
5690,1865,historical,NorESM2-MM,0.23768228177765466,0.19208048081018392
5691,1866,historical,NorESM2-MM,0.23503638448080855,0.1896375373593842
5692,1867,historical,NorESM2-MM,0.18962744401236725,0.15538852364230565
5693,1868,historical,NorESM2-MM,0.11393223232343072,0.09080632047338473
5694,1869,historical,NorESM2-MM,0.025578468666700976,0.020124412529122497
5695,1870,historical,NorESM2-MM,-0.04244459251605311,-0.04360782668867977
5696,1871,historical,NorESM2-MM,-0.02847736106502647,-0.03086669734472261
5697,1872,historical,NorESM2-MM,0.05604663791917919,0.05107111670436557
5698,1873,historical,NorESM2-MM,0.13079887433229104,0.12023026288681074
5699,1874,historical,NorESM2-MM,0.13638890968726897,0.11306740710648755
5700,1875,historical,NorESM2-MM,0.18829648510446423,0.17149949539179188
