,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
90,0,0.0758528817703878,0.0274808821905436,2.760205485560765,2015_2065,EC-Earth3,ssp245,r7i1p1f1,all,2052.105,2048.018,4.086999999999989
91,0,0.0639173059425415,0.0279484736385927,2.286969469927724,2015_2065,EC-Earth3,ssp245,r6i1p1f1,all,2062.842,2057.197,5.644999999999982
92,0,0.0973348826705157,0.0305858195078604,3.1823532681706017,2015_2065,EC-Earth3,ssp245,r4i1p1f1,all,2061.795,2055.127,6.66800000000012
93,0,0.0780088191511156,0.0284689457670236,2.7401372635819645,2015_2065,EC-Earth3,ssp245,r2i1p1f1,all,,,
94,0,0.0990518521216488,0.0326772812026844,3.031214607704627,2015_2065,EC-Earth3,ssp245,r25i1p1f1,all,2052.63,2049.26,3.369999999999891
95,0,0.099569319196489,0.0309937144786211,3.212564898123777,2015_2065,EC-Earth3,ssp245,r24i1p1f1,all,2057.078,2050.942,6.135999999999967
96,0,0.1019768801640145,0.0343957632811273,2.964809338014265,2015_2065,EC-Earth3,ssp245,r23i1p1f1,all,2052.088,2047.508,4.580000000000155
97,0,0.0882876411528856,0.0284716241341566,3.100899363411071,2015_2065,EC-Earth3,ssp245,r22i1p1f1,all,2064.892,2060.271,4.62099999999964
98,0,0.0662391702848795,0.0273529491283748,2.4216463816753704,2015_2065,EC-Earth3,ssp245,r21i1p1f1,all,2067.591,2065.002,2.588999999999942
99,0,0.118486371619091,0.0345079620803732,3.433595161114469,2015_2065,EC-Earth3,ssp245,r20i1p1f1,all,2045.141,2038.172,6.969000000000051
100,0,0.0788802854202086,0.0271471859157006,2.9056523819873377,2015_2065,EC-Earth3,ssp245,r1i1p1f1,all,2061.003,2056.082,4.9210000000002765
101,0,0.1337797185144688,0.039327406841873,3.401691829119777,2015_2065,EC-Earth3,ssp245,r19i1p1f1,all,2034.789,2030.442,4.34699999999998
102,0,0.114914036697747,0.0352681944465751,3.258290890729348,2015_2065,EC-Earth3,ssp245,r18i1p1f1,all,2047.246,2041.649,5.597000000000207
103,0,0.0509092748714266,0.0247863813747955,2.0539212280173587,2015_2065,EC-Earth3,ssp245,r17i1p1f1,all,2066.391,2061.675,4.7159999999998945
104,0,0.0634453661182436,0.0276063886455551,2.298213175683117,2015_2065,EC-Earth3,ssp245,r16i1p1f1,all,2057.397,2055.387,2.0099999999997635
105,0,0.0717560905932662,0.0271332494086492,2.644581543204055,2015_2065,EC-Earth3,ssp245,r14i1p1f1,all,2058.81,2053.764,5.045999999999822
106,0,0.0637957175880245,0.027400291019339,2.3282861318150814,2015_2065,EC-Earth3,ssp245,r12i1p1f1,all,2064.501,2059.141,5.360000000000127
107,0,0.1546499901965631,0.0453870202106613,3.4073616086441367,2015_2065,EC-Earth3,ssp245,r10i1p1f1,all,2040.053,2035.245,4.80800000000022
108,0,0.1687384299285668,-0.0083357820055482,-20.242663473715528,2015_2065,E3SM-1-1,ssp245,r1i1p1f1,all,,,
109,0,0.0515484416212705,0.0202124131762472,2.5503358343103755,2015_2065,MPI-ESM1-2-HR,ssp245,r2i1p1f1,all,2068.565,2061.177,7.38799999999992
110,0,0.0373510246301139,0.0196770305836879,1.898204328709922,2015_2065,MPI-ESM1-2-HR,ssp245,r1i1p1f1,all,2069.633,2061.961,7.6720000000000255
111,0,0.1053795569901796,0.0388284122001824,2.713980588412636,2015_2065,ACCESS-CM2,ssp245,r3i1p1f1,all,,,
112,0,0.1066945269996847,0.0379711876063275,2.8098812211474,2015_2065,ACCESS-CM2,ssp245,r2i1p1f1,all,2045.974,2041.323,4.65099999999984
113,0,0.1004866913070902,0.038713381531038,2.595657814766867,2015_2065,ACCESS-CM2,ssp245,r1i1p1f1,all,2041.898,2038.298,3.599999999999909
114,0,0.0686315812325057,0.0276210087253761,2.484760130047392,2015_2065,ACCESS-ESM1-5,ssp245,r3i1p1f1,all,2048.543,2044.379,4.164000000000215
